name,location,Date,Rating,Review,Image_Links,state,clean_review,review_length,word_count,priority,tolerance,cultural_norm,batch_index,sentiment,aspect,urgency
Andrea,"San Diego, CA","Reviewed Nov. 5, 2008",,No Review Text,['No Images'],CA,no_review text,14,2,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",0.0,Mixed,Price,Low
April,"Orland, CA","Reviewed Sept. 13, 2017",4.0,I have only purchased their coffee. Their prices are a little expensive for my taste. I have gotten gift cards from friends for Starbucks and have enjoyed trying out different coffees. Most every town has a shop there so it is easy to find.,['No Images'],CA,i have only purchased their coffee their prices are a little expensive for my taste i have gotten gift cards from friends for  and have enjoyed trying out different coffees most every town has a shop there so it is easy to find,227,43,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",1.0,Negative,Price,Low
Melissa,"Vista, CA","Reviewed July 3, 2015",2.0,"I was visiting the Starbucks at 2183 Vista Way in Oceanside. I noticed that the barista was in a hurry, I received no Hi and my friend and I noticed the girl was picking up the chairs and tables at 7:45pm. She said I could not sit because she was stacking the tables so I sat on the ledge of the sidewalk. She was not friendly and she seemed eager for us to leave when 8:25pm arrived. I am disappointed in my visit to my favorite coffee shop.",['No Images'],CA,i was visiting the  at 2183 vista way in oceanside i noticed that the barista was in a hurry i received no_hi and my friend and i noticed the girl was picking up the chairs and tables at 745pm she said i could not_sit because she was stacking the tables so i sat on the ledge of the sidewalk she was not_friendly and she seemed eager for us to leave when 825pm arrived i am disappointed in my visit to my favorite coffee shop,425,84,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",2.0,Negative,Service,Medium
Martha,"Desert Hot Springs, CA","Reviewed Aug. 12, 2017",4.0,"Starbucks in Cathedral City Ca needs more baristas. Service is very slow. I also wish they had more salads and greens instead of pastries, sugar, and even more carbs. The ambiance is generally good, which is why I return. There is a Starbuck's in Desert Hot Springs where I live, but it is too small, doesn't have enough tables, and store layout isn't good. Same general problems with menu, but coffee is always good at both places.",['No Images'],CA,in cathedral city ca needs more baristas service is very slow i also wish they had more salads and greens instead of pastries sugar and even more carbs the ambiance is generally good which is why i return there is a starbucks in desert hot springs where i live but it is too small doesnt have enough tables and store layout isnt good same general problems with menu but coffee is always good at both places,406,76,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",0.0,Negative,Service,Medium
Anny,"Modesto, CA","Reviewed March 21, 2014",1.0,"Ordered my usual tall iced doppio espresso with milk and hazelnut. Never paid more than $2.45. I get charged extra for sweetened flavoring, but was at the Los Banos, CA location and was charged an extra 55 cents for milk. I asked the barista at the window why I was charged for something that is provided for free at the counter and she said that because she filled it up to the rim. It was a tall drink. It wasn't even like I asked for a gallon of milk!!! The girl talked to me like I was dumb. I asked another barista a different day why I was charged for milk and she said I shouldn't have been charged. I'm so disappointed and the girl that charged me acted like I was trying to get something for free!!!",['No Images'],CA,ordered my usual tall iced doppio espresso with milk and hazelnut never paid more than 245 i get charged extra for sweetened flavoring but was at the los banos ca location and was charged an extra 55 cents for milk i asked the barista at the window why i was charged for something that is provided for free at the counter and she said that because she filled it up to the rim it was a tall drink it wasnt even like i asked for a gallon of milk the girl talked to me like i was dumb i asked another barista a different day why i was charged for milk and she said i shouldnt have been charged im so disappointed and the girl that charged me acted like i was trying to get something for free,688,138,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",1.0,Negative,Price,Low
Margaret,"Cotati, CA","Reviewed Oct. 2, 2011",1.0,I ordered Via Starbucks coffee online. I received and email that they were out of stock at the warehouse so they cancelled my order. They left me a number I could call and place a replacement order. ,['No Images'],CA,i ordered via  coffee online i received and email that they were out of stock at the warehouse so they cancelled my order they left me a number i could call and place a replacement order,186,36,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",2.0,Negative,Availability,Low
Steven,"Van Nuys, CA","Reviewed Oct. 7, 2017",1.0,"I find the overhead music to be offensively pervasive and berating common intelligence most of the times with the unknown artist’s lyrics. The lyrics are very antagonistic and condescend the listener's (in this case mine) feelings, thoughts, and activities leaving me to personally feel attacked and vulnerable to the programming it’s perpetrating in my unconscious mind.",['No Images'],CA,i find the overhead music to be offensively pervasive and berating common intelligence most of the times with the unknown artists lyrics the lyrics are very antagonistic and condescend the listeners in this case mine feelings thoughts and activities leaving me to personally feel attacked and vulnerable to the programming its perpetrating in my unconscious mind,362,56,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",0.0,Negative,Ambiance,Medium
Swetha,"Los Angeles, CA","Reviewed June 1, 2019",1.0,"Very bad customer service. The person who takes order does not smile and is rude. I asked if an over the counter sandwich can be heated and she rudely responded ""No"" with stern blunt voice, no apology whatsoever. I also asked another person working at the bar for water, he said ""one minute plz"" and then ignored me and started walking around the kitchen for 3 minutes or more. Finally, I went back to the order area to order water, the new barista was polite and addressed the request. Overall, very rude staff, worst staff ever seen at Starbucks. No outlets either. This experience has made me never go to a Starbucks again, ever! Specially after the horrific thing they were in the news for. I usually don't believe everything that they say in the news but given my own personal experience, I think this Starbucks at Cypress Park, Los Angeles, CA has racist staff.",['No Images'],CA,very bad customer service the person who takes order does not_smile and is rude i asked if an over the counter sandwich can be heated and she rudely responded no with stern blunt voice no_apology whatsoever i also asked another person working at the bar for water he said one minute plz and then ignored me and started walking around the kitchen for 3 minutes or more finally i went back to the order area to order water the new barista was polite and addressed the request overall very rude staff worst staff ever seen at  no_outlets either this experience has made me never go to a  again ever specially after the horrific thing they were in the news for i usually dont believe everything that they say in the news but given my own personal experience i think this  at cypress park los angeles ca has racist staff,815,149,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",1.0,Negative,Service,Medium
Maddie,"Pismo Beach, CA","Reviewed March 27, 2014",1.0,"On 3/23/2014 at approx. 5:40pm I went to the drive thru Starbucks located on 32340 Alvarado Blvd, Union City, CA 94587. Upon arrival, my boyfriend asked if a drip coffee was available as we are not heavy coffee drinkers and wanted to venture out of our usual drinks. The barista first laughed and I can clearly hear from the drive thru window of her telling her colleagues of what we ordered while chuckling, then she asked what size we wanted. We ordered a tall and then proceeded to ask if an Americano was stronger in caffeine or the drip coffee. She sarcastically said that coffee is stronger than espresso, but was chuckling the whole time and double repeated that I just wanted a ""tall plain black coffee"". We then proceeded to the window and the same barista leaned out of the window to say, ""I'm sorry that I laughed, but you don't think we have coffee here at a coffee shop?"" ",['No Images'],CA,on 3232014 at approx 540pm i went to the drive thru  located on 32340 alvarado blvd union city ca 94587 upon arrival my boyfriend asked if a drip coffee was available as we are not_heavy coffee drinkers and wanted to venture out of our usual drinks the barista first laughed and i can clearly hear from the drive thru window of her telling her colleagues of what we ordered while chuckling then she asked what size we wanted we ordered a tall and then proceeded to ask if an americano was stronger in caffeine or the drip coffee she sarcastically said that coffee is stronger than espresso but was chuckling the whole time and double repeated that i just wanted a tall plain black coffee we then proceeded to the window and the same barista leaned out of the window to say im sorry that i laughed but you dont think we have coffee here at a coffee shop,852,159,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",2.0,Negative,Unknown,Low
Jeffrey,"Loa Angles, CA","Reviewed July 26, 2014",1.0,"I came into your Palm Springs location and women behind counter not welcoming and let me stand there and finally said, ""You're not where people order."" No sign. Just thought she was unfriendly. I am not pleased.",['No Images'],CA,i came into your palm springs location and women behind counter not_welcoming and let me stand there and finally said youre not_where people order no_sign just thought she was unfriendly i am not_pleased,203,33,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",0.0,Negative,Service,Medium
